[0.048s] Invoking command in '/home/eid/ws_gazebo/src/build/rplidar_ros': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/eid/ws_gazebo/src/install/serial_motor_demo:/opt/ros/humble /usr/bin/cmake --build /home/eid/ws_gazebo/src/build/rplidar_ros -- -j8 -l8
[0.223s] [  5%] Built target rplidar_client
[0.224s] [ 52%] Built target rplidar_node
[0.228s] [100%] Built target rplidar_composition
[0.252s] Invoked command in '/home/eid/ws_gazebo/src/build/rplidar_ros' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/eid/ws_gazebo/src/install/serial_motor_demo:/opt/ros/humble /usr/bin/cmake --build /home/eid/ws_gazebo/src/build/rplidar_ros -- -j8 -l8
[0.371s] Invoking command in '/home/eid/ws_gazebo/src/build/rplidar_ros': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/eid/ws_gazebo/src/install/serial_motor_demo:/opt/ros/humble /usr/bin/cmake --install /home/eid/ws_gazebo/src/build/rplidar_ros
[0.380s] -- Install configuration: ""
[0.382s] -- Execute custom install script
[0.384s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a1_launch.py
[0.384s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a2m12_launch.py
[0.385s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a2m7_launch.py
[0.386s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a2m8_launch.py
[0.387s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a3_launch.py
[0.387s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_c1_launch.py
[0.388s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s1_launch.py
[0.388s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s1_tcp_launch.py
[0.389s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s2_launch.py
[0.389s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s2e_launch.py
[0.389s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s3_launch.py
[0.389s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/rplidar_t1_launch.py
[0.391s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a1_launch.py
[0.391s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a2m12_launch.py
[0.391s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a2m7_launch.py
[0.392s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a2m8_launch.py
[0.392s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a3_launch.py
[0.392s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_c1_launch.py
[0.392s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s1_launch.py
[0.393s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s1_tcp_launch.py
[0.393s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s2_launch.py
[0.393s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s2e_launch.py
[0.394s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s3_launch.py
[0.394s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_t1_launch.py
[0.395s] -- Up-to-date symlink: /home/eid/ws_gazebo/src/install/rplidar_ros/share/rplidar_ros/rviz/rplidar_ros.rviz
